iter	Passed	Remaining
0	17	17099
1	33	16738
2	48	16172
3	63	15802
4	78	15660
5	93	15511
6	108	15358
7	122	15173
8	135	14971
9	148	14746
10	162	14589
11	175	14476
12	188	14314
13	201	14177
14	217	14276
15	231	14213
16	243	14051
17	254	13895
18	266	13749
19	278	13624
20	289	13502
21	301	13384
22	312	13271
23	323	13171
24	335	13074
25	346	12993
26	358	12919
27	369	12840
28	381	12761
29	392	12689
30	403	12623
31	415	12558
32	426	12512
33	441	12536
34	452	12487
35	465	12452
36	476	12400
37	487	12338
38	498	12281
39	509	12230
40	520	12170
41	530	12092
42	541	12045
43	552	11994
44	562	11946
45	573	11895
46	584	11847
47	594	11794
48	605	11748
49	615	11697
50	626	11650
51	638	11634
52	649	11600
53	660	11568
54	670	11521
55	680	11470
56	690	11421
57	700	11375
58	709	11319
59	719	11271
60	729	11225
61	739	11181
62	749	11141
63	758	11095
64	768	11054
65	777	11006
66	787	10962
67	796	10914
68	805	10865
69	814	10820
70	823	10773
71	833	10736
72	843	10712
73	854	10686
74	862	10637
75	871	10596
76	880	10556
77	889	10511
78	898	10469
79	906	10426
80	915	10386
81	924	10345
82	932	10304
83	941	10263
84	949	10223
85	958	10181
86	966	10139
87	975	10106
88	983	10069
89	991	10024
90	999	9987
91	1007	9945
92	1015	9908
93	1024	9870
94	1032	9836
95	1041	9806
96	1051	9787
97	1059	9749
98	1067	9718
99	1075	9679
100	1083	9644
101	1091	9612
102	1099	9571
103	1106	9532
104	1113	9494
105	1120	9453
106	1127	9413
107	1135	9374
108	1142	9335
109	1149	9302
110	1157	9270
111	1164	9235
112	1172	9200
113	1179	9167
114	1187	9135
115	1196	9117
116	1204	9087
117	1211	9058
118	1218	9023
119	1225	8990
120	1233	8959
121	1241	8935
122	1251	8926
123	1261	8908
124	1270	8890
125	1279	8872
126	1286	8842
127	1294	8817
128	1301	8787
129	1308	8756
130	1315	8729
131	1323	8700
132	1329	8669
133	1337	8644
134	1344	8614
135	1351	8585
136	1358	8557
137	1365	8529
138	1372	8502
139	1379	8476
140	1386	8449
141	1394	8422
142	1400	8396
143	1408	8371
144	1415	8346
145	1422	8321
146	1429	8294
147	1436	8271
148	1445	8254
149	1454	8240
150	1461	8219
151	1469	8200
152	1476	8175
153	1484	8152
154	1491	8131
155	1498	8107
156	1505	8086
157	1513	8063
158	1520	8041
159	1527	8019
160	1534	7997
161	1541	7973
162	1548	7952
163	1555	7929
164	1562	7907
165	1569	7887
166	1577	7866
167	1584	7845
168	1591	7823
169	1598	7803
170	1605	7784
171	1612	7764
172	1620	7744
173	1627	7725
174	1634	7705
175	1642	7688
176	1650	7673
177	1659	7663
178	1667	7646
179	1674	7627
180	1681	7608
181	1688	7589
182	1696	7571
183	1703	7553
184	1710	7534
185	1717	7515
186	1724	7496
187	1731	7479
188	1738	7459
189	1745	7441
190	1752	7423
191	1759	7404
192	1766	7387
193	1774	7370
194	1781	7354
195	1788	7336
196	1795	7319
197	1802	7303
198	1810	7286
199	1817	7269
200	1824	7252
201	1831	7236
202	1838	7219
203	1846	7206
204	1856	7198
205	1863	7184
206	1871	7167
207	1878	7152
208	1885	7136
209	1892	7120
210	1899	7103
211	1906	7087
212	1913	7071
213	1921	7057
214	1928	7041
215	1935	7025
216	1942	7009
217	1949	6993
218	1956	6975
219	1963	6960
220	1970	6945
221	1977	6929
222	1984	6914
223	1991	6899
224	1998	6884
225	2006	6870
226	2013	6855
227	2020	6840
228	2027	6826
229	2034	6811
230	2041	6797
231	2049	6784
232	2058	6777
233	2065	6762
234	2072	6748
235	2080	6735
236	2087	6721
237	2094	6706
238	2101	6692
239	2108	6678
240	2115	6663
241	2123	6650
242	2131	6638
243	2137	6624
244	2145	6611
245	2153	6599
246	2160	6585
247	2167	6571
248	2174	6559
249	2182	6547
250	2190	6535
251	2197	6523
252	2204	6509
253	2211	6496
254	2219	6483
255	2226	6470
256	2233	6457
257	2241	6445
258	2248	6433
259	2257	6424
260	2265	6415
261	2274	6406
262	2281	6392
263	2289	6381
264	2296	6369
265	2303	6357
266	2310	6344
267	2317	6330
268	2325	6318
269	2332	6305
270	2339	6292
271	2346	6280
272	2353	6268
273	2361	6255
