file_name,feature_x_1,feature_x_2,feature_x_3,feature_x_4,feature_x_5,feature_y_1,feature_y_2,feature_y_3,feature_y_4,feature_y_5,is_gan
00000.png,125,101,73,,,89,130,87,,,No
000004.png,127,75,,,,90,87,,,,Yes
00001.png,126,75,76,,,91,90,139,,,No
000014.png,130,77,,,,89,91,,,,Yes
000016.png,127,173,74,,,90,61,91,,,Yes
00002.png,77,127,,,,90,90,,,,No
000021.png,76,126,102,,,87,88,136,,,Yes
000027.png,77,,,,,90,,,,,Yes
00003.png,127,77,101,100,,88,87,160,139,,No
000035.png,124,78,100,,,89,85,137,,,Yes
000038.png,121,83,103,,,91,87,156,,,Yes
000039.png,128,77,115,85,,88,89,140,138,,Yes
00004.png,127,77,,,,87,88,,,,No
000041.png,126,76,,,,89,90,,,,Yes
000043.png,125,77,115,86,,89,90,139,139,,Yes
00005.png,79,124,,,,90,89,,,,No
000057.png,82,116,79,,,134,135,76,,,Yes
000058.png,130,91,,,,88,134,,,,Yes
00006.png,128,75,,,,88,89,,,,No
000065.png,77,128,86,106,87,89,87,117,139,139,Yes
000068.png,81,126,,,,88,90,,,,Yes
00007.png,134,126,76,86,124,89,90,90,139,88,No
000071.png,127,104,77,,,86,137,91,,,Yes
000078.png,77,,,,,80,,,,,Yes
00008.png,179,76,96,,,115,88,145,,,No
000086.png,127,,,,,87,,,,,Yes
000089.png,76,126,91,,,88,89,145,,,Yes
00009.png,75,129,,,,83,83,,,,No
000090.png,126,109,115,77,85,88,20,140,90,138,Yes
000094.png,119,86,,,,91,88,,,,Yes
000098.png,113,127,76,88,,140,88,89,139,,Yes
00010.png,126,76,,,,88,89,,,,No
000105.png,126,74,,,,88,89,,,,Yes
00011.png,126,75,,,,90,87,,,,No
000112.png,105,,,,,143,,,,,Yes
000115.png,78,127,79,,,90,90,138,,,Yes
000118.png,77,128,,,,89,87,,,,Yes
00012.png,95,126,77,,,122,88,88,,,No
000127.png,125,75,97,97,101,88,89,133,159,153,Yes
000128.png,122,84,93,,,89,89,75,,,Yes
000130.png,125,95,,,,89,148,,,,Yes
000131.png,81,67,84,70,,141,90,88,81,,Yes
000136.png,126,116,86,,,89,136,135,,,Yes
000137.png,128,78,,,,88,89,,,,Yes
00014.png,125,79,86,115,,87,89,138,137,,No
000145.png,123,76,,,,90,87,,,,Yes
000149.png,80,124,55,,,91,86,155,,,Yes
00015.png,125,78,,,,88,89,,,,No
000153.png,122,85,,,,90,87,,,,Yes
00016.png,126,74,,,,89,89,,,,No
000169.png,78,131,82,,,89,88,148,,,Yes
00017.png,125,78,73,97,,89,87,75,139,,No
000170.png,125,75,,,,88,86,,,,Yes
000172.png,126,77,,,,88,88,,,,Yes
000174.png,76,127,,,,87,89,,,,Yes
000178.png,127,96,75,,,88,130,89,,,Yes
00018.png,127,76,81,,,89,89,137,,,No
000184.png,75,125,,,,88,88,,,,Yes
000185.png,128,66,,,,89,91,,,,Yes
000188.png,123,,,,,90,,,,,Yes
00019.png,125,78,,,,89,90,,,,No
000193.png,76,125,32,,,89,89,55,,,Yes
000194.png,127,87,77,,,87,147,88,,,Yes
000197.png,99,125,75,85,,145,87,88,89,,Yes
000199.png,128,75,,,,90,89,,,,Yes
00020.png,125,77,,,,91,84,,,,No
000203.png,74,126,,,,87,89,,,,Yes
000207.png,128,76,,,,89,90,,,,Yes
00021.png,127,122,,,,93,84,,,,No
000213.png,125,76,,,,88,87,,,,Yes
000214.png,126,76,,,,90,90,,,,Yes
000217.png,75,,,,,85,,,,,Yes
00022.png,81,,,,,133,,,,,No
000222.png,110,113,,,,33,84,,,,Yes
000225.png,126,,,,,87,,,,,Yes
00023.png,127,,,,,92,,,,,No
000230.png,77,124,43,,,89,92,144,,,Yes
000233.png,74,,,,,90,,,,,Yes
000237.png,127,74,,,,88,89,,,,Yes
000243.png,127,77,,,,86,87,,,,Yes
000244.png,127,101,,,,88,133,,,,Yes
000245.png,76,124,,,,90,89,,,,Yes
000249.png,127,74,,,,88,87,,,,Yes
00025.png,82,,,,,137,,,,,No
000250.png,125,76,,,,87,90,,,,Yes
00026.png,93,126,73,101,,110,90,88,129,,No
000262.png,128,80,102,,,89,86,156,,,Yes
000263.png,127,76,,,,88,89,,,,Yes
000267.png,77,126,81,116,,90,91,138,139,,Yes
000268.png,122,85,,,,92,87,,,,Yes
00027.png,74,126,,,,87,91,,,,No
000273.png,77,123,112,116,,90,89,137,21,,Yes
000274.png,124,77,,,,88,89,,,,Yes
000279.png,74,128,122,,,89,89,143,,,Yes
00028.png,116,,,,,90,,,,,No
000282.png,127,78,109,,,89,89,143,,,Yes
00029.png,126,75,,,,88,91,,,,No
000293.png,128,75,,,,90,90,,,,Yes
000294.png,120,,,,,87,,,,,Yes
000298.png,126,81,75,113,,89,135,90,138,,Yes
00030.png,126,76,102,,,88,89,132,,,No
000303.png,80,130,74,,,139,88,89,,,Yes
000308.png,74,126,84,,,90,90,139,,,Yes
000309.png,126,76,66,88,,89,89,91,139,,Yes
